IncidentNumber,IncidentDate,Exposures,Patients,IncidentTime,Address,Latitude,Longitude,StationNumber,IncidentType,Complete,Reviewed,RunNumber,Imported
2016-7505271,2016-08-21,1,0,12:31:01,28 WILLIAMS ST San Rafael CA 94901,37.9836,-122.5135,52,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16022457,FALSE
2016-7505094,2016-08-13,1,0,12:45:23,185 MISSION AVE San Rafael CA 94901,37.9714,-122.5139,52,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16021770,FALSE
2016-7505040,2016-08-11,1,0,13:37:13,845 LAS GALLINAS AVE San Rafael CA 94903,38.007,-122.5484,56,143 - Grass fire,TRUE,TRUE,SN-F16021561,FALSE
2016-7504841,2016-08-01,1,0,23:09:34,380 MERRYDALE RD San Rafael CA 94903,38.0004,-122.5376,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16020707,FALSE
2016-7504805,2016-07-31,1,0,1:33:23,SB Hwy 101 at Merrydale San Rafael CA 94903,38.0102,-122.5421,56,143 - Grass fire,TRUE,TRUE,SN-F16020537,FALSE
2016-7504586,2016-07-21,1,0,11:00:20,1 AVENUE OF THE FLAGS San Rafael CA 94903,38.001,-122.5355,57,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16019665,FALSE
2016-7504478,2016-07-16,1,0,10:56:45,2675 FRANCISCO BLVD E San Rafael CA 94901,37.9448,-122.4812,54,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16019180,FALSE
2016-7504453,2016-07-15,1,0,13:10:26,1 SAINT VINCENTS DR San Rafael CA 94903,38.0341,-122.5251,58,"140 - Natural vegetation fire, other",TRUE,TRUE,SN-F16019094,FALSE
2016-7504422,2016-07-13,1,0,21:01:39,3501 CIVIC CENTER DR San Rafael CA 94903,37.9986,-122.5311,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16018947,FALSE
2016-7504336,2016-07-10,1,0,6:04:16,360 MERRYDALE RD San Rafael CA 94903,37.9996,-122.538,57,142 - Brush or brush-and-grass mixture fire,TRUE,TRUE,SN-F16018595,FALSE
